饰品名称,饰品价格,当前在售数量
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),$4.27 USD,67
法玛斯（StatTrak™） | 死亡之舞 (战痕累累),$2.21 USD,22
USP 消音版（StatTrak™） | 蓝图 (破损不堪),$11.29 USD,22
AK-47（StatTrak™） | 轨道 Mk01 (略有磨损),$35.00 USD,36
M4A4 | 地狱烈焰 (破损不堪),$22.72 USD,17
双持贝瑞塔 | 毒蛇袭击 (略有磨损),$29.96 USD,13
SSG 08（StatTrak™） | 鬼脸天蛾 (略有磨损),$14.16 USD,10
FN57（StatTrak™） | 暴怒野兽 (破损不堪),$50.91 USD,6
AWP | 鬼退治 (崭新出厂),$437.42 USD,16
双持贝瑞塔（StatTrak™） | 毒蛇袭击 (崭新出厂),$128.36 USD,4
P2000（StatTrak™） | 林间猎者 (略有磨损),$14.22 USD,7
M4A4（StatTrak™） | 地狱烈焰 (略有磨损),$89.72 USD,10
FN57 | 暴怒野兽 (崭新出厂),$80.05 USD,12
AWP（StatTrak™） | 鬼退治 (久经沙场),$385.52 USD,5
印花 | wayLander | 2017年克拉科夫锦标赛,$1.52 USD,36
印花 | HEN1（闪亮）| 2017年克拉科夫锦标赛,$11.28 USD,7
印花 | Skadoodle | 2017年克拉科夫锦标赛,$1.62 USD,47
印花 | flamie | 2017年克拉科夫锦标赛,$1.49 USD,45
印花 | dennis（闪亮）| 2017年克拉科夫锦标赛,$9.56 USD,25
印花 | innocent | 2017年克拉科夫锦标赛,$1.15 USD,31
印花 | Vega Squadron（全息）| 2017年克拉科夫锦标赛,$4.57 USD,42
封装的涂鸦 | North | 2017年克拉科夫锦标赛,$0.46 USD,113
印花 | JW（闪亮）| 2017年克拉科夫锦标赛,$27.41 USD,23
印花 | coldzera | 2017年克拉科夫锦标赛,$1.38 USD,74
印花 | keshandr | 2017年克拉科夫锦标赛,$3.03 USD,83
2017年克拉科夫锦标赛传奇（全息/闪亮）,$27.92 USD,200
2017年克拉科夫锦标赛传奇亲笔签名胶囊,$21.66 USD,225
印花 | suNny（闪亮）| 2017年克拉科夫锦标赛,$22.56 USD,13
印花 | steel | 2017年克拉科夫锦标赛,$0.78 USD,55
印花 | B1ad3 | 2017年克拉科夫锦标赛,$1.43 USD,49
印花 | karrigan（闪亮）| 2017年克拉科夫锦标赛,$7.10 USD,9
封装的涂鸦 | Virtus.Pro | 2017年克拉科夫锦标赛,$1.03 USD,78
印花 | k0nfig（闪亮）| 2017年克拉科夫锦标赛,$14.68 USD,16
封装的涂鸦 | PGL | 2017年克拉科夫锦标赛,$0.48 USD,51
印花 | cajunb | 2017年克拉科夫锦标赛,$0.78 USD,25
印花 | HS（闪亮）| 2017年克拉科夫锦标赛,$14.40 USD,25
印花 | HS | 2017年克拉科夫锦标赛,$0.57 USD,49
印花 | Astralis（全息）| 2017年克拉科夫锦标赛,$9.29 USD,69
印花 | markeloff | 2017年克拉科夫锦标赛,$1.44 USD,68
印花 | Cloud9（全息）| 2017年克拉科夫锦标赛,$24.73 USD,47
印花 | G2 Esports（全息）| 2017年克拉科夫锦标赛,$10.00 USD,36
印花 | Kjaerbye（闪亮）| 2017年克拉科夫锦标赛,$5.92 USD,21
印花 | rain | 2017年克拉科夫锦标赛,$1.09 USD,60
印花 | AdreN | 2017年克拉科夫锦标赛,$1.65 USD,59
印花 | SK Gaming | 2017年克拉科夫锦标赛,$1.61 USD,193
USP 消音版（StatTrak™） | 蓝图 (久经沙场),$11.79 USD,81
法玛斯（StatTrak™） | 死亡之舞 (崭新出厂),$4.84 USD,22
印花 | TaZ | 2017年克拉科夫锦标赛,$0.78 USD,80
印花 | gob b（闪亮）| 2017年克拉科夫锦标赛,$10.92 USD,16
印花 | jR（闪亮）| 2017年克拉科夫锦标赛,$17.78 USD,10
印花 | dupreeh | 2017年克拉科夫锦标赛,$0.92 USD,70
印花 | LUCAS1 | 2017年克拉科夫锦标赛,$1.54 USD,33
印花 | Magisk | 2017年克拉科夫锦标赛,$1.21 USD,45
印花 | boltz（闪亮）| 2017年克拉科夫锦标赛,$13.76 USD,8
印花 | GuardiaN | 2017年克拉科夫锦标赛,$1.72 USD,62
印花 | WorldEdit | 2017年克拉科夫锦标赛,$1.49 USD,37
印花 | Fnatic（全息）| 2017年克拉科夫锦标赛,$5.00 USD,73
印花 | Magisk（闪亮）| 2017年克拉科夫锦标赛,$15.93 USD,21
印花 | fer | 2017年克拉科夫锦标赛,$0.74 USD,61
印花 | ropz（闪亮）| 2017年克拉科夫锦标赛,$200.57 USD,8
印花 | innocent（闪亮）| 2017年克拉科夫锦标赛,$10.62 USD,11
印花 | electronic | 2017年克拉科夫锦标赛,$3.52 USD,59
印花 | FaZe Clan（闪亮）| 2017年克拉科夫锦标赛,$23.19 USD,38
印花 | mou（闪亮）| 2017年克拉科夫锦标赛,$4.38 USD,28
印花 | denis（闪亮）| 2017年克拉科夫锦标赛,$13.50 USD,14
印花 | gla1ve（闪亮）| 2017年克拉科夫锦标赛,$10.28 USD,17
印花 | karrigan | 2017年克拉科夫锦标赛,$0.69 USD,57
印花 | chrisJ（闪亮）| 2017年克拉科夫锦标赛,$15.18 USD,37
封装的涂鸦 | Immortals | 2017年克拉科夫锦标赛,$0.49 USD,86
封装的涂鸦 | mousesports | 2017年克拉科夫锦标赛,$0.57 USD,116
印花 | North | 2017年克拉科夫锦标赛,$1.03 USD,240
印花 | cajunb（闪亮）| 2017年克拉科夫锦标赛,$11.68 USD,13
封装的涂鸦 | G2 Esports | 2017年克拉科夫锦标赛,$0.80 USD,105
印花 | seized | 2017年克拉科夫锦标赛,$0.99 USD,47
印花 | mousesports | 2017年克拉科夫锦标赛,$1.34 USD,108
Tec-9（StatTrak™） | 碎蛋白石 (略有磨损),$0.30 USD,413
UMP-45（StatTrak™） | x射线 (崭新出厂),$3.02 USD,133
CZ75（StatTrak™） | 战术高手 (破损不堪),$1.00 USD,125
SCAR-20 | 丛林滑流 (战痕累累),$0.08 USD,843
CZ75 | 战术高手 (战痕累累),$0.28 USD,570
MP9 | 焦油缠绕 (破损不堪),$0.39 USD,267
G3SG1 | 猎人 (战痕累累),$0.08 USD,1587
R8 左轮手枪 | 美洲驼炮 (破损不堪),$2.07 USD,88
CZ75（StatTrak™） | 战术高手 (略有磨损),$1.41 USD,150
封装的涂鸦 | 眼球 (草绿),$0.03 USD,4294
封装的涂鸦 | 公鸡 (群青),$0.03 USD,4200
封装的涂鸦 | λ 符号 (藕色),$0.03 USD,5850
封装的涂鸦 | 跳射 (豆青),$0.03 USD,5708
封装的涂鸦 | 无语 (暗紫),$0.03 USD,5069
封装的涂鸦 | 无语 (酱紫),$0.03 USD,4128
封装的涂鸦 | 吻,$1.08 USD,52
封装的涂鸦 | 玛莎,$0.77 USD,36
封装的涂鸦 | 露齿笑 (血红),$0.03 USD,4420
封装的涂鸦 | 八号球 (暗紫),$0.03 USD,2016
封装的涂鸦 | 愤怒 (血红),$0.03 USD,4455
封装的涂鸦 | 背刺 (棕褐),$0.03 USD,4680
封装的涂鸦 | 走啦 (灰色),$0.03 USD,5419
封装的涂鸦 | 吃掉 (黄褐),$0.03 USD,4704
封装的涂鸦 | 笑脸 (酱紫),$0.03 USD,7008
封装的涂鸦 | 走啦 (群青),$0.03 USD,6004
封装的涂鸦 | 跳射 (灰色),$0.03 USD,6017
封装的涂鸦 | λ 符号 (砖红),$0.03 USD,5211
封装的涂鸦 | 盲狙 (群青),$0.03 USD,4906
封装的涂鸦 | 担心 (深绿),$0.03 USD,4420
封装的涂鸦 | X 双刀 (酱紫),$0.03 USD,4919
封装的涂鸦 | 翅膀 (纯紫),$0.03 USD,4368
封装的涂鸦 | 盛怒 (纯紫),$0.03 USD,5359
封装的涂鸦 | 骷髅王,$2.53 USD,98
封装的涂鸦 | 惊惧骷髅,$1.72 USD,22
封装的涂鸦 | 卡哇伊杀手恐怖分子,$1.90 USD,36
封装的涂鸦 | 双杀 (藕色),$0.03 USD,5716
封装的涂鸦 | 鲜血锅炉,$1.29 USD,40
封装的涂鸦 | 正牌 MVP,$0.62 USD,132
封装的涂鸦 | 王 (藕色),$0.03 USD,5662
封装的涂鸦 | 拆弹天使,$0.46 USD,115
封装的涂鸦 | 独角兽,$0.93 USD,97
封装的涂鸦 | 对不起 (灰色),$0.03 USD,2529
封装的涂鸦 | 火蛇,$1.79 USD,63
封装的涂鸦 | 公鸡 (血红),$0.04 USD,3253
封装的涂鸦 | 鹰翼,$0.74 USD,357
封装的涂鸦 | 祝你好运，玩得开心 (砖红),$0.03 USD,5692
封装的涂鸦 | 地狱看门犬,$0.99 USD,150
封装的涂鸦 | 眼球 (暗紫),$0.03 USD,4446
封装的涂鸦 | 技不如人，甘拜下风 (棕褐),$0.03 USD,4998
封装的涂鸦 | 经济局 (黛蓝),$0.03 USD,3974
封装的涂鸦 | 盲狙 (黄褐),$0.03 USD,4536
封装的涂鸦 | 眼球 (豆青),$0.03 USD,4853
封装的涂鸦 | 露齿笑 (黄褐),$0.03 USD,6839
封装的涂鸦 | X 双刀 (藕色),$0.03 USD,4956
封装的涂鸦 | 王冠 (黛蓝),$0.03 USD,1956
封装的涂鸦 | 对不起 (纯紫),$0.03 USD,3313
封装的涂鸦 | 对不起 (草绿),$0.03 USD,3355
封装的涂鸦 | 碰碰狗 (丁香),$0.03 USD,4968
封装的涂鸦 | 愤怒 (酱紫),$0.03 USD,5759
封装的涂鸦 | 愤怒 (深绿),$0.03 USD,4765
封装的涂鸦 | 对不起 (棕褐),$0.03 USD,4496
封装的涂鸦 | 矬人 (藕色),$0.03 USD,4847
封装的涂鸦 | 碰碰狗 (灰色),$0.03 USD,4598
封装的涂鸦 | 八号球 (暗绿),$0.03 USD,2430
封装的涂鸦 | 死刑 (豆青),$0.03 USD,4823
封装的涂鸦 | 祝你好运，玩得开心 (草绿),$0.03 USD,4735
封装的涂鸦 | 打得好 (靛蓝),$0.03 USD,3904
封装的涂鸦 | 王 (黛蓝),$0.03 USD,5719
封装的涂鸦 | 警帽 (藕色),$0.03 USD,4975
封装的涂鸦 | 快枪手 (棕褐),$0.03 USD,4409
封装的涂鸦 | 吃掉 (黛蓝),$0.03 USD,5255
封装的涂鸦 | 经济局 (群青),$0.03 USD,4846
封装的涂鸦 | 盛怒 (藕色),$0.03 USD,5502
MP7（StatTrak™） | 卷云 (略有磨损),$0.99 USD,210
P2000（StatTrak™） | 草皮 (略有磨损),$0.54 USD,305
音乐盒（StatTrak™） | Midnight Riders — 圣诞之欲,$6.53 USD,53
音乐盒（StatTrak™） | Robert Allaire — 叛乱,$7.42 USD,30
StatTrak™ 激进音乐集,$8.32 USD,105
M4A1 消音型（StatTrak™） | 闪回 (略有磨损),$4.20 USD,214
MP9（StatTrak™） | 砂垢 (略有磨损),$0.57 USD,177
MAG-7 | 声纳 (崭新出厂),$0.26 USD,509
封装的涂鸦 | 墓碑 (黄褐),$0.03 USD,3399
封装的涂鸦 | 双斧 (群青),$0.03 USD,5859
封装的涂鸦 | 跳射 (暗紫),$0.03 USD,4703
封装的涂鸦 | 经济局 (灰褐),$0.03 USD,4907
封装的涂鸦 | 毒品战争老兵,$4.37 USD,34
封装的涂鸦 | 死刑 (黛蓝),$0.03 USD,4518
封装的涂鸦 | 祝你好运，玩得开心 (深绿),$0.03 USD,4388
封装的涂鸦 | 翅膀 (藕色),$0.03 USD,4465
封装的涂鸦 | 王冠 (深绿),$0.03 USD,1621
封装的涂鸦 | 双杀 (军绿),$0.03 USD,6672
封装的涂鸦 | λ 符号 (黛蓝),$0.03 USD,4551
封装的涂鸦 | 忍者 (纯紫),$0.03 USD,5643
封装的涂鸦 | QQ (暗紫),$0.03 USD,4423
封装的涂鸦 | 爪子刀 (深绿),$0.03 USD,4691
封装的涂鸦 | 墓碑 (灰褐),$0.03 USD,3774
封装的涂鸦 | 双杀 (靛蓝),$0.03 USD,5267
封装的涂鸦 | 王 (靛蓝),$0.03 USD,5575
封装的涂鸦 | 双斧 (草绿),$0.03 USD,7201
封装的涂鸦 | 技不如人，甘拜下风 (藕色),$0.03 USD,5880
封装的涂鸦 | X 双刀 (暗紫),$0.03 USD,5370
封装的涂鸦 | 死刑 (群青),$0.03 USD,4852
封装的涂鸦 | 公鸡 (暗绿),$0.03 USD,3905
封装的涂鸦 | X 双刀 (群青),$0.03 USD,4743
封装的涂鸦 | 王 (黄褐),$0.03 USD,5362
封装的涂鸦 | QQ (草绿),$0.03 USD,3965
封装的涂鸦 | λ 符号 (豆青),$0.03 USD,5397
封装的涂鸦 | QQ (丁香),$0.03 USD,2543
封装的涂鸦 | 翅膀 (草绿),$0.03 USD,4386
封装的涂鸦 | 背刺 (砖红),$0.03 USD,4488
封装的涂鸦 | 经济局 (纯紫),$0.03 USD,4799
封装的涂鸦 | 无语 (靛蓝),$0.03 USD,4195
封装的涂鸦 | X 双刀 (黛蓝),$0.03 USD,5401
封装的涂鸦 | 愤怒 (黛蓝),$0.03 USD,4398
封装的涂鸦 | X 双刀 (血红),$0.03 USD,4775
封装的涂鸦 | 翻盘之王,$2.71 USD,52
封装的涂鸦 | 王 (军绿),$0.03 USD,5744
封装的涂鸦 | 担心 (棕褐),$0.03 USD,4636
封装的涂鸦 | 眼球 (纯紫),$0.03 USD,5229
封装的涂鸦 | 爪子刀 (暗绿),$0.03 USD,4460
封装的涂鸦 | 技不如人，甘拜下风 (黛蓝),$0.03 USD,4297
封装的涂鸦 | 矬人 (黄褐),$0.03 USD,4276
封装的涂鸦 | 技不如人，甘拜下风 (群青),$0.03 USD,4139
印花 | Tyloo | 2019年柏林锦标赛,$0.48 USD,3910
封装的涂鸦 | 露齿笑 (草绿),$0.03 USD,3475
封装的涂鸦 | 祝你好运，玩得开心 (血红),$0.03 USD,3034
印花 | FURIA | 2019年柏林锦标赛,$0.36 USD,2484
封装的涂鸦 | 警帽 (群青),$0.03 USD,2481
MP9 | 军队之辉 (久经沙场),$0.16 USD,2087
CZ75 | 丛林虚线 (破损不堪),$0.15 USD,2018
印花 | 士官长,$0.14 USD,1786
印花 | G2 Esports | 2019年柏林锦标赛,$0.54 USD,1403
印花 | Zeus | 2019年卡托维兹锦标赛,$0.26 USD,1386
AUG | 搜索 (破损不堪),$0.15 USD,1335
印花 | Cloud9 | 2017年克拉科夫锦标赛,$2.09 USD,1288
印花 | Vitality | 2019年柏林锦标赛,$0.43 USD,1264
印花 | FaZe Clan | 2019年柏林锦标赛,$0.88 USD,1255
印花 | ENCE | 2019年柏林锦标赛,$0.40 USD,1182
印花 | Krad | 2019年柏林锦标赛,$0.09 USD,1133
2019年卡托维兹锦标赛传奇亲笔签名胶囊,$4.74 USD,1132
印花 | ENCE | 2019年卡托维兹锦标赛,$0.43 USD,980
印花 | Astralis | 2019年卡托维兹锦标赛,$1.09 USD,969
印花 | NRG | 2019年柏林锦标赛,$0.25 USD,940
印花 | LETN1 | 2019年柏林锦标赛,$0.08 USD,922
印花 | FaZe Clan | 2019年卡托维兹锦标赛,$1.35 USD,893
印花 | DreamEaters | 2019年柏林锦标赛,$0.27 USD,868
印花 | Cloud9 | 2019年卡托维兹锦标赛,$1.84 USD,862
印花 | stanislaw | 2019年柏林锦标赛,$0.12 USD,851
P250 | 铠甲 (战痕累累),$0.10 USD,847
双持贝瑞塔 | 街头抢匪 (略有磨损),$0.34 USD,833
印花 | device | 2019年卡托维兹锦标赛,$0.92 USD,832
布章 | 金·大师级守护者 ー 精英,$0.31 USD,785
P2000 | 至高帝皇 (久经沙场),$0.16 USD,760
印花 | Renegades | 2019年柏林锦标赛,$0.26 USD,757
印花 | FURIA（全息）| 2019年柏林锦标赛,$1.03 USD,737
格洛克 18 型 | 异星世界 (崭新出厂),$0.38 USD,729
印花 | Team Liquid | 2018年伦敦锦标赛,$0.78 USD,715
印花 | forZe eSports（全息）| 2019年柏林锦标赛,$0.38 USD,713
封装的涂鸦 | 八号球 (灰褐),$0.03 USD,712
新星 | 玩具士兵 (久经沙场),$0.37 USD,699
印花 | karrigan | 2019年柏林锦标赛,$0.12 USD,689
印花 | JUGi | 2019年柏林锦标赛,$0.08 USD,685
印花 | NiKo | 2019年卡托维兹锦标赛,$1.07 USD,662
印花 | woxic | 2019年柏林锦标赛,$0.17 USD,649
布章 | 金·黄金新星 ー 大师级,$0.27 USD,646
印花 | BnTeT | 2019年柏林锦标赛,$0.11 USD,635
印花 | yel | 2019年柏林锦标赛,$0.08 USD,626
G3SG1 | 多变迷彩 (战痕累累),$0.09 USD,612
SCAR-20 | 丛林滑流 (破损不堪),$0.08 USD,598
印花 | MIBR（全息）| 2019年柏林锦标赛,$0.63 USD,597
R8 左轮手枪 | 稳 (崭新出厂),$0.25 USD,591
截短霰弹枪（纪念品） | 贤者涂装 (战痕累累),$0.13 USD,570
印花 | Syman Gaming | 2019年柏林锦标赛,$0.39 USD,565
印花 | CeRq | 2019年柏林锦标赛,$0.11 USD,565
双持贝瑞塔 | 街头抢匪 (崭新出厂),$0.76 USD,564
MP7 | 非洲部落 (战痕累累),$0.09 USD,563
FN57（StatTrak™） | 毛细血管 (战痕累累),$0.18 USD,562
印花 | Astralis（全息）| 2019年柏林锦标赛,$1.20 USD,559
印花 | INTZ E-SPORTS CLUB（全息）| 2019年柏林锦标赛,$0.40 USD,557
印花 | StarLadder | 2019年柏林锦标赛,$0.37 USD,546
M249（纪念品） | 对比涂装 (战痕累累),$0.13 USD,541
印花 | Winstrike Team（全息）| 2019年卡托维兹锦标赛,$1.55 USD,524
印花 | sdy | 2019年卡托维兹锦标赛,$0.39 USD,523
印花 | 联合军头盔（全息）,$0.62 USD,522
印花 | KSCERATO | 2019年柏林锦标赛,$0.20 USD,516
印花 | Rickeh | 2019年卡托维兹锦标赛,$0.17 USD,500
印花 | Zeus（闪亮）| 2019年柏林锦标赛,$0.46 USD,500
团队定位胶囊,$1.04 USD,492
印花 | EspiranTo | 2019年柏林锦标赛,$0.09 USD,489
印花 | Syman Gaming（全息）| 2019年柏林锦标赛,$0.54 USD,489
印花 | Astralis | 2018年伦敦锦标赛,$0.98 USD,486
双持贝瑞塔（StatTrak™） | 1.6精英 (战痕累累),$0.18 USD,482
棱彩武器箱钥匙,$6.72 USD,481
印花 | aizy | 2019年柏林锦标赛,$0.09 USD,480
印花 | t0rick | 2019年柏林锦标赛,$0.09 USD,480
印花 | FaZe Clan（全息）| 2019年柏林锦标赛,$0.99 USD,475
布章 | 金·白银,$0.57 USD,471
SG 553 | 擎天神 (破损不堪),$0.08 USD,469
PP-野牛 | 午夜行动 (破损不堪),$0.08 USD,459
UMP-45（纪念品） | 泥地杀手 (战痕累累),$0.13 USD,457
印花 | svyat | 2019年柏林锦标赛,$0.11 USD,456
UMP-45 | 支架 (破损不堪),$0.50 USD,455
印花 | stanislaw | 2019年卡托维兹锦标赛,$0.18 USD,454
封装的涂鸦 | 傻瓜 (砖红),$0.09 USD,454
印花 | Zeus | 2018年伦敦锦标赛,$0.47 USD,453
印花 | Perfecto | 2019年柏林锦标赛,$0.25 USD,446
印花 | MIBR | 2019年卡托维兹锦标赛,$0.88 USD,447
P90（纪念品） | 沙漠涂装 (久经沙场),$0.23 USD,439
印花 | G2 Esports | 2017年克拉科夫锦标赛,$1.26 USD,438
截短霰弹枪 | 贤者涂装 (战痕累累),$0.17 USD,437
封装的涂鸦 | 哎呀 (血红),$0.07 USD,433
印花 | forZe eSports | 2019年柏林锦标赛,$0.31 USD,433
XM1014（StatTrak™） | 锈蚀烈焰 (破损不堪),$0.16 USD,432
社区涂鸦箱 1,$1.04 USD,430
印花 | frozen | 2019年柏林锦标赛,$0.30 USD,427
P2000（StatTrak™） | 草皮 (战痕累累),$0.24 USD,424
PP-野牛（StatTrak™） | 收割机 (战痕累累),$0.16 USD,424
P2000 | 手炮 (破损不堪),$0.37 USD,420
M249 | 战隼 (久经沙场),$0.26 USD,420
印花 | Cloud9 G2A | 2015年科隆锦标赛,$2.49 USD,420
印花 | chelo | 2019年柏林锦标赛,$0.09 USD,416
印花 | Tyloo | 2018年伦敦锦标赛,$0.77 USD,412
封装的涂鸦 | 傻瓜 (纯紫),$0.08 USD,409
印花 | ottoNd | 2019年柏林锦标赛,$0.09 USD,409
印花 | 跳跳先生,$0.27 USD,407
印花 | Stewie2K | 2019年卡托维兹锦标赛,$0.66 USD,403
印花 | Astralis | 2017年克拉科夫锦标赛,$1.38 USD,401
印花 | 雪莉,$0.47 USD,397
印花 | neaLaN | 2019年柏林锦标赛,$0.09 USD,393
印花 | Keoz | 2019年柏林锦标赛,$0.10 USD,393
印花 | Ninjas in Pyjamas（全息）| 2019年柏林锦标赛,$0.72 USD,389
2016年科隆锦标赛挑战者（全息/闪亮）,$28.88 USD,387
MP9（StatTrak™） | 毛细血管 (战痕累累),$0.27 USD,386
印花 | NRG（全息）| 2019年卡托维兹锦标赛,$1.95 USD,384
印花 | Fnatic | 2019年卡托维兹锦标赛,$1.74 USD,382
印花 | coldzera | 2018年伦敦锦标赛,$0.74 USD,379
加利尔 AR | 燕尾 (战痕累累),$0.63 USD,374
印花 | Grayhound Gaming（全息）| 2019年柏林锦标赛,$0.35 USD,374
2018年伦敦锦标赛传奇亲笔签名胶囊,$5.95 USD,374
印花 | Gambit | 2017年克拉科夫锦标赛,$1.55 USD,374
印花 | Aleksib（闪亮）| 2019年柏林锦标赛,$0.38 USD,371
印花 | Misfits Gaming | 2018年波士顿锦标赛,$1.01 USD,370
印花 | 肉食主义,$0.34 USD,369
封装的涂鸦 | 心碎 (群青),$0.15 USD,369
印花 | Fnatic（金色）| 2020 RMR,$10.25 USD,368
P2000（纪念品） | 工业牧草 (久经沙场),$0.28 USD,361
XM1014 | 加州迷彩 (破损不堪),$0.09 USD,360
印花 | speed4k | 2019年柏林锦标赛,$0.09 USD,360
印花 | mousesports | 2019年柏林锦标赛,$0.78 USD,357
印花 | FugLy | 2019年卡托维兹锦标赛,$0.25 USD,357
MAG-7 | 碰碰狗 (破损不堪),$0.10 USD,355
印花 | DavCost | 2019年卡托维兹锦标赛,$0.37 USD,355
M249 | 狂野丛林 (久经沙场),$0.92 USD,350
P90（StatTrak™） | 精英之作 (战痕累累),$0.30 USD,350
印花 | 咯咯,$0.35 USD,348
PP-野牛 | 海鸟 (崭新出厂),$1.18 USD,348
2018年伦敦锦标赛回归挑战者亲笔签名胶囊,$4.64 USD,345
格洛克 18 型 | 战鹰 (崭新出厂),$0.58 USD,343
印花 | apEX（闪亮）| 2019年柏林锦标赛,$0.36 USD,343
2017年克拉科夫锦标赛挑战者亲笔签名胶囊,$20.08 USD,337
MP7 | 陆军斥候 (崭新出厂),$0.12 USD,337
印花 | ISSAA（闪亮）| 2019年柏林锦标赛,$0.23 USD,336
PP-野牛（StatTrak™） | 收割机 (久经沙场),$0.21 USD,336
格洛克 18 型 | 本生灯 (崭新出厂),$0.69 USD,336
印花 | ZywOo | 2019年卡托维兹锦标赛,$2.48 USD,327
MAG-7（纪念品） | 沙丘之黄 (战痕累累),$0.17 USD,323
印花 | MIBR | 2018年伦敦锦标赛,$0.62 USD,323
封装的涂鸦 | 1G (黄褐),$0.62 USD,323
封装的涂鸦 | 哔哔声 (棕褐),$0.07 USD,323
MP9 | 生化泄漏 (战痕累累),$0.12 USD,322
UMP-45（纪念品） | 枯焦之色 (略有磨损),$0.19 USD,321
印花 | REZ（闪亮）| 2019年柏林锦标赛,$0.46 USD,320
印花 | Poorly Drawn FBI,$0.19 USD,318
封装的涂鸦 | 晕眩 (群青),$0.10 USD,318
印花 | HellRaisers（全息）| 2019年卡托维兹锦标赛,$4.74 USD,317
SCAR-20 | 石砌 (久经沙场),$0.62 USD,316
SG 553 | 路障 (崭新出厂),$1.93 USD,316
M4A1 消音型 | 守护者 (略有磨损),$13.80 USD,316
印花 | mousesports（全息）| 2019年柏林锦标赛,$0.87 USD,313
封装的涂鸦 | 良方 (棕褐),$0.08 USD,311
印花 | kNgV- | 2019年柏林锦标赛,$0.65 USD,310
印花 | DeadFox | 2019年卡托维兹锦标赛,$0.17 USD,310
P250 | 北方森林 (崭新出厂),$0.16 USD,310
M249 | 鳄鱼网格 (破损不堪),$0.10 USD,309
封装的涂鸦 | 欢呼 (黄褐),$0.10 USD,308
印花 | ALEX（闪亮）| 2019年柏林锦标赛,$0.26 USD,307
印花 | Jerry | 2019年柏林锦标赛,$0.11 USD,307
印花 | IEM（全息）| 2019年卡托维兹锦标赛,$2.23 USD,305
封装的涂鸦 | 欢呼 (黛蓝),$0.09 USD,304
印花 | 不给糖就捣蛋,$1.07 USD,303
P2000（StatTrak™） | 海洋 (战痕累累),$0.24 USD,302
印花 | Avangar（全息）| 2019年柏林锦标赛,$1.11 USD,302
印花 | Ramz1kBO$$ | 2019年柏林锦标赛,$0.11 USD,302
印花 | electronic | 2019年卡托维兹锦标赛,$0.77 USD,302
